,時間,買賣,成交價,口數
1473,"2022-02-07 08:45:00,634",B,17808,1
1474,"2022-02-07 08:45:01,232",B,17808,1
1475,"2022-02-07 08:49:00,260",B,17747,1
1476,"2022-02-07 09:23:15,734",B,17812,1
1477,"2022-02-07 09:23:18,750",B,17820,1
1478,"2022-02-07 09:23:18,773",B,17820,1
1479,"2022-02-07 09:25:00,794",B,17836,1
1480,"2022-02-07 09:25:01,043",B,17837,1
1481,"2022-02-07 09:25:05,004",B,17840,1
1482,"2022-02-07 09:27:00,502",B,17845,1
1483,"2022-02-07 09:27:02,577",B,17842,1
1484,"2022-02-07 09:27:02,675",B,17842,1
1485,"2022-02-07 09:35:01,204",S,17807,1
1486,"2022-02-07 09:35:20,436",S,17795,1
1487,"2022-02-07 09:40:18,470",S,17783,2
1488,"2022-02-07 09:40:18,583",S,17782,2
1489,"2022-02-07 09:57:00,925",S,17743,1
1490,"2022-02-07 11:45:01,013",B,17796,2
1491,"2022-02-07 12:07:58,884",B,17829,1
1492,"2022-02-07 12:23:15,799",B,17857,1
1493,"2022-02-07 12:23:16,905",B,17859,1
1494,"2022-02-07 12:23:16,935",B,17859,1
1495,"2022-02-07 12:23:16,949",B,17859,1
1496,"2022-02-07 12:23:17,336",B,17862,1
1497,"2022-02-07 12:23:48,729",B,17860,1
1498,"2022-02-07 12:39:51,798",B,17865,1
1499,"2022-02-07 13:44:00,375",S,17891,1
1500,"2022-02-07 15:01:00,048",B,17920,1
1501,"2022-02-07 16:16:10,358",S,17897,1
1502,"2022-02-07 16:16:46,945",S,17891,1
1503,"2022-02-07 17:40:01,872",S,17881,1
1504,"2022-02-07 17:48:03,162",S,17877,2
1505,"2022-02-07 17:48:03,228",S,17877,1
1506,"2022-02-07 22:42:04,654",B,17943,1
1507,"2022-02-08 00:40:04,067",S,17895,1
1508,"2022-02-08 04:40:01,684",B,17906,1
1509,"2022-02-08 04:44:00,574",S,17907,1
1510,"2022-02-08 04:54:06,241",S,17893,1
1511,"2022-02-08 08:45:00,243",B,17959,1
1512,"2022-02-08 08:45:00,604",B,17962,1
1513,"2022-02-08 08:45:00,879",B,17969,1
1514,"2022-02-08 08:47:42,427",B,17973,1
1515,"2022-02-08 08:57:00,510",B,17991,1
1516,"2022-02-08 08:57:51,912",B,17994,1
1517,"2022-02-08 09:04:02,748",B,18010,1
1518,"2022-02-08 09:13:55,925",B,18029,1
1519,"2022-02-08 09:15:13,559",S,18008,1
1520,"2022-02-08 09:37:00,709",B,18006,1
1521,"2022-02-08 09:40:22,663",B,18038,1
1522,"2022-02-08 09:40:37,667",B,18037,1
1523,"2022-02-08 09:51:38,026",S,18012,1
1524,"2022-02-08 10:24:19,876",B,18043,1
1525,"2022-02-08 10:53:00,859",B,18034,1
1526,"2022-02-08 13:25:08,372",S,17997,1
1527,"2022-02-08 13:30:02,469",S,17957,1
1528,"2022-02-08 13:44:01,302",S,17944,1
1529,"2022-02-08 16:01:32,568",S,17947,1
1530,"2022-02-08 20:16:47,309",S,17959,1
1531,"2022-02-09 00:05:01,518",B,18015,1
1532,"2022-02-09 04:44:00,561",S,18038,1
1533,"2022-02-09 04:54:03,751",S,18043,1
1534,"2022-02-09 08:45:00,515",B,18070,1
1535,"2022-02-09 08:57:00,918",B,18082,1
1536,"2022-02-09 09:11:52,994",B,18095,1
1537,"2022-02-09 09:13:02,834",B,18089,1
1538,"2022-02-09 09:16:24,167",S,18079,1
1539,"2022-02-09 09:29:38,746",B,18094,1
1540,"2022-02-09 09:30:08,275",B,18100,1
1541,"2022-02-09 09:30:08,403",B,18100,1
1542,"2022-02-09 09:34:05,437",S,18077,1
1543,"2022-02-09 09:34:05,540",S,18077,1
1544,"2022-02-09 09:35:01,397",S,18075,1
1545,"2022-02-09 09:37:01,105",B,18067,1
1546,"2022-02-09 09:55:51,337",B,18098,1
1547,"2022-02-09 11:02:04,403",B,18106,1
1548,"2022-02-09 11:06:28,426",B,18109,1
1549,"2022-02-09 11:06:28,532",B,18109,1
1550,"2022-02-09 11:51:00,856",B,18114,1
1551,"2022-02-09 11:51:01,206",B,18115,1
1552,"2022-02-09 12:39:01,988",S,18114,1
1553,"2022-02-09 13:05:32,384",B,18155,1
1554,"2022-02-09 17:48:00,416",S,18207,1
1555,"2022-02-09 22:40:56,752",S,18195,1
1556,"2022-02-09 22:56:02,515",S,18181,3
1557,"2022-02-10 04:44:25,698",S,18241,1
1558,"2022-02-10 04:54:08,287",S,18247,1
1559,"2022-02-10 11:15:30,127",B,18232,1
1560,"2022-02-10 11:15:32,607",B,18229,1
1561,"2022-02-10 12:11:49,464",S,18207,1
1562,"2022-02-10 12:23:07,742",B,18247,1
1563,"2022-02-10 12:39:00,545",B,18253,1
1564,"2022-02-10 13:32:01,535",B,18324,1
1565,"2022-02-10 13:32:01,661",B,18324,1
1566,"2022-02-10 13:43:24,553",B,18326,1
1567,"2022-02-10 13:43:24,657",B,18325,1
1568,"2022-02-10 13:44:01,445",S,18327,1
1569,"2022-02-10 15:11:26,149",B,18375,1
1570,"2022-02-10 15:47:35,754",B,18380,1
1571,"2022-02-10 17:01:43,486",S,18363,1
1572,"2022-02-10 17:48:12,870",S,18369,2
1573,"2022-02-10 17:48:12,952",S,18369,2
1574,"2022-02-10 21:32:00,424",S,18324,1
1575,"2022-02-10 21:32:00,825",S,18324,1
1576,"2022-02-10 21:45:00,554",S,18308,1
1577,"2022-02-10 22:24:03,434",S,18266,1
1578,"2022-02-10 22:31:21,296",B,18283,3
1579,"2022-02-10 22:36:00,753",B,18299,1
1580,"2022-02-10 23:09:25,298",B,18362,2
1581,"2022-02-10 23:10:00,374",S,18362,1
1582,"2022-02-11 00:33:33,941",S,18327,1
1583,"2022-02-11 02:30:00,646",S,18249,1
1584,"2022-02-11 02:36:00,691",S,18239,1
1585,"2022-02-11 04:33:11,093",S,18223,1
1586,"2022-02-11 04:44:00,527",S,18222,1
1587,"2022-02-11 04:53:00,632",S,18204,1
1588,"2022-02-11 04:54:01,573",B,18206,1
1589,"2022-02-11 08:57:34,848",B,18219,1
1590,"2022-02-11 11:57:01,478",B,18283,1
1591,"2022-02-11 12:05:02,481",S,18274,2
1592,"2022-02-11 13:18:44,470",B,18260,1
1593,"2022-02-11 17:35:25,404",S,18315,1
1594,"2022-02-11 20:09:42,138",B,18339,1
1595,"2022-02-11 22:31:25,914",B,18359,2
1596,"2022-02-11 22:46:14,047",B,18376,1
1597,"2022-02-11 23:15:00,872",S,18337,1
1598,"2022-02-11 23:15:00,967",S,18336,1
1599,"2022-02-12 00:34:06,516",S,18306,1
1600,"2022-02-12 02:30:00,776",S,18269,1
1601,"2022-02-12 03:18:56,686",B,18236,1
1602,"2022-02-12 03:30:04,645",S,18204,1
1603,"2022-02-12 04:30:00,400",S,18132,2
1604,"2022-02-12 04:40:00,576",S,18107,1
1605,"2022-02-12 04:54:01,164",B,18117,1
1606,"2022-02-14 08:45:00,428",S,18092,1
1607,"2022-02-14 08:45:01,190",S,18082,1
1608,"2022-02-14 08:45:01,399",S,18080,2
1609,"2022-02-14 09:01:58,750",S,18085,1
1610,"2022-02-14 09:05:11,060",S,18019,1
1611,"2022-02-14 09:07:39,134",S,18010,1
1612,"2022-02-14 09:09:00,999",S,18008,1
1613,"2022-02-14 09:10:02,470",S,18007,1
1614,"2022-02-14 09:10:02,577",S,18008,1
1615,"2022-02-14 09:15:00,532",S,18019,1
1616,"2022-02-14 09:15:01,339",S,18021,1
1617,"2022-02-14 09:16:16,275",B,18032,1
1618,"2022-02-14 09:30:00,289",S,18016,1
1619,"2022-02-14 09:34:53,185",S,18013,1
1620,"2022-02-14 09:34:54,326",S,18003,1
1621,"2022-02-14 09:35:08,592",S,17998,1
1622,"2022-02-14 09:35:18,299",S,18002,1
1623,"2022-02-14 09:35:29,562",S,17994,1
1624,"2022-02-14 09:41:01,506",S,17974,1
1625,"2022-02-14 09:41:02,066",S,17972,1
1626,"2022-02-14 09:41:45,977",S,17959,1
1627,"2022-02-14 09:45:01,242",S,17952,1
1628,"2022-02-14 10:00:27,989",S,17940,1
1629,"2022-02-14 10:03:01,256",S,17954,1
1630,"2022-02-14 10:19:25,089",B,17973,1
1631,"2022-02-14 11:59:04,959",B,18010,1
1632,"2022-02-14 12:39:20,066",S,17957,1
1633,"2022-02-14 12:39:20,234",S,17957,2
1634,"2022-02-14 13:35:01,567",B,17993,1
1635,"2022-02-14 13:44:00,318",B,17979,1
1636,"2022-02-14 15:15:17,702",B,17964,1
1637,"2022-02-14 19:40:10,293",B,17921,2
1638,"2022-02-14 19:40:10,381",B,17921,2
1639,"2022-02-14 20:11:16,611",B,17910,3
1640,"2022-02-14 20:29:13,546",B,17915,1
1641,"2022-02-14 20:39:04,830",B,17940,1
1642,"2022-02-14 21:00:02,465",S,17986,1
1643,"2022-02-15 03:00:00,553",S,17838,1
1644,"2022-02-15 04:44:00,300",B,17941,1
1645,"2022-02-15 04:54:01,097",B,17929,1
1646,"2022-02-15 08:45:00,879",S,17908,1
1647,"2022-02-15 09:15:28,189",B,18031,1
1648,"2022-02-15 09:30:51,215",B,18031,1
1649,"2022-02-15 09:30:52,280",B,18030,1
1650,"2022-02-15 09:30:52,964",B,18027,1
1651,"2022-02-15 09:30:53,072",B,18026,1
1652,"2022-02-15 09:34:01,761",S,18012,1
1653,"2022-02-15 09:34:01,867",S,18011,1
1654,"2022-02-15 09:36:34,530",S,18000,1
1655,"2022-02-15 09:45:00,904",B,18029,1
1656,"2022-02-15 09:45:17,944",B,18036,1
1657,"2022-02-15 09:45:18,054",B,18035,1
1658,"2022-02-15 09:45:19,094",B,18036,1
1659,"2022-02-15 09:48:18,611",B,18039,1
1660,"2022-02-15 09:51:00,892",B,18033,1
1661,"2022-02-15 10:29:01,913",B,18093,1
1662,"2022-02-15 12:36:01,268",S,17990,1
1663,"2022-02-15 12:36:01,675",S,17990,1
1664,"2022-02-15 12:36:02,788",S,17990,2
1665,"2022-02-15 13:06:26,669",S,17941,1
1666,"2022-02-15 17:17:59,686",B,18085,1
1667,"2022-02-15 23:48:01,573",B,18147,1
1668,"2022-02-16 00:34:55,292",B,18154,1
1669,"2022-02-16 01:16:14,809",S,18140,1
1670,"2022-02-16 04:54:08,898",S,18180,1
1671,"2022-02-16 08:51:00,648",S,18177,1
1672,"2022-02-16 09:04:01,563",B,18188,1
1673,"2022-02-16 09:18:01,876",S,18184,1
1674,"2022-02-16 09:37:00,299",B,18181,1
1675,"2022-02-16 10:04:48,826",B,18188,1
1676,"2022-02-16 10:05:03,733",B,18196,1
1677,"2022-02-16 10:06:31,325",B,18214,2
1678,"2022-02-16 10:06:31,359",B,18214,1
1679,"2022-02-16 10:15:00,678",B,18232,1
1680,"2022-02-16 10:21:01,371",B,18231,1
1681,"2022-02-16 11:55:06,263",S,18219,1
1682,"2022-02-16 12:07:21,180",S,18190,1
1683,"2022-02-16 12:29:29,539",S,18178,1
1684,"2022-02-16 13:18:01,881",S,18206,1
1685,"2022-02-16 13:27:00,470",S,18205,1
1686,"2022-02-16 16:24:00,907",B,18284,1
1687,"2022-02-17 04:03:07,069",B,18288,1
1688,"2022-02-17 04:03:07,995",B,18290,1
1689,"2022-02-17 04:03:08,745",B,18292,1
1690,"2022-02-17 04:54:07,877",S,18278,1
1691,"2022-02-17 08:45:00,539",B,18274,1
1692,"2022-02-17 08:45:00,907",S,18273,1
1693,"2022-02-17 08:45:01,082",B,18278,1
1694,"2022-02-17 09:15:01,230",B,18279,1
1695,"2022-02-17 09:18:22,593",B,18288,1
1696,"2022-02-17 09:20:19,701",B,18292,1
1697,"2022-02-17 09:55:31,111",B,18295,1
1698,"2022-02-17 10:02:25,282",B,18311,1
1699,"2022-02-17 10:02:28,876",B,18312,1
1700,"2022-02-17 10:02:29,747",B,18311,1
1701,"2022-02-17 10:11:58,044",B,18314,1
1702,"2022-02-17 10:23:50,553",S,18288,1
1703,"2022-02-17 10:24:11,367",S,18284,1
1704,"2022-02-17 10:24:11,471",S,18284,1
1705,"2022-02-17 10:43:33,480",S,18268,1
1706,"2022-02-17 11:15:04,576",B,18320,1
1707,"2022-02-17 11:15:04,691",B,18320,1
1708,"2022-02-17 11:19:34,289",B,18329,1
1709,"2022-02-17 11:19:34,359",B,18330,1
1710,"2022-02-17 11:52:23,994",S,18305,1
1711,"2022-02-17 11:52:24,126",S,18305,1
1712,"2022-02-17 11:56:02,556",S,18253,1
1713,"2022-02-17 11:56:24,909",S,18247,1
1714,"2022-02-17 11:57:06,692",S,18237,1
1715,"2022-02-17 12:03:30,409",S,18196,1
1716,"2022-02-17 12:45:00,555",S,18205,1
1717,"2022-02-17 13:35:00,700",S,18246,1
1718,"2022-02-17 18:52:00,726",B,18257,1
1719,"2022-02-17 20:42:00,727",B,18265,1
1720,"2022-02-17 23:26:46,302",S,18165,1
1721,"2022-02-17 23:26:46,414",S,18164,1
1722,"2022-02-17 23:30:01,962",S,18170,1
1723,"2022-02-17 23:52:01,510",S,18160,1
1724,"2022-02-17 23:52:01,732",S,18159,1
1725,"2022-02-18 04:14:00,949",S,18092,1
1726,"2022-02-18 04:30:29,242",B,18099,1
1727,"2022-02-18 04:54:01,466",S,18076,1
1728,"2022-02-18 08:45:00,431",S,18062,1
1729,"2022-02-18 08:45:00,870",S,18058,1
1730,"2022-02-18 08:45:01,175",S,18061,1
1731,"2022-02-18 09:32:35,073",B,18145,1
1732,"2022-02-18 10:21:01,029",B,18205,1
1733,"2022-02-18 11:27:40,640",B,18216,1
1734,"2022-02-18 11:29:27,663",B,18231,1
1735,"2022-02-18 13:21:27,109",B,18250,1
1736,"2022-02-18 13:21:27,353",B,18249,1
1737,"2022-02-18 18:04:03,550",B,18219,1
1738,"2022-02-18 21:26:03,081",S,18151,1
1739,"2022-02-18 21:32:07,870",S,18135,2
1740,"2022-02-18 21:39:46,473",B,18157,1
1741,"2022-02-18 21:39:46,500",B,18158,1
1742,"2022-02-18 21:52:41,936",B,18168,3
1743,"2022-02-18 22:35:47,427",S,18126,1
1744,"2022-02-18 22:35:47,952",S,18125,1
1745,"2022-02-18 23:15:00,695",B,18169,1
1746,"2022-02-19 00:03:32,412",S,18120,1
1747,"2022-02-19 03:29:14,170",B,18186,2
1748,"2022-02-19 04:00:00,879",B,18186,1
1749,"2022-02-19 04:30:01,294",S,18141,3
1750,"2022-02-19 04:53:00,733",S,18127,1
1751,"2022-02-19 04:54:02,213",S,18130,1
1752,"2022-02-21 08:45:01,328",S,17978,1
1753,"2022-02-21 08:45:01,375",S,17977,1
1754,"2022-02-21 08:45:01,438",S,17976,1
1755,"2022-02-21 08:45:01,467",S,17976,1
1756,"2022-02-21 08:52:01,507",S,17999,1
1757,"2022-02-21 09:06:00,536",B,18091,1
1758,"2022-02-21 09:09:15,660",B,18101,1
1759,"2022-02-21 09:12:04,628",B,18127,1
1760,"2022-02-21 09:58:25,467",B,18193,1
1761,"2022-02-21 09:58:26,331",B,18193,1
1762,"2022-02-21 10:00:00,858",S,18176,1
1763,"2022-02-21 10:50:53,695",B,18191,1
1764,"2022-02-21 10:57:00,415",B,18212,1
1765,"2022-02-21 11:00:28,297",B,18224,1
1766,"2022-02-21 20:36:04,454",S,18131,1
1767,"2022-02-21 21:18:20,982",S,18093,1
1768,"2022-02-21 21:35:29,114",B,18096,1
1769,"2022-02-22 00:00:00,567",S,18120,1
1770,"2022-02-22 01:16:05,058",S,18087,1
1771,"2022-02-22 01:16:08,455",S,18074,1
1772,"2022-02-22 02:54:00,703",S,18030,1
1773,"2022-02-22 03:06:05,006",S,18012,1
1774,"2022-02-22 04:44:00,700",B,18005,1
1775,"2022-02-22 04:54:07,672",B,18009,1
1776,"2022-02-22 08:51:01,244",B,18054,1
1777,"2022-02-22 09:00:00,402",B,18055,1
1778,"2022-02-22 09:00:22,848",S,18053,1
1779,"2022-02-22 09:03:01,189",B,18058,1
1780,"2022-02-22 09:11:45,756",S,17948,1
1781,"2022-02-22 09:11:48,715",S,17949,1
1782,"2022-02-22 09:11:55,295",S,17956,1
1783,"2022-02-22 09:13:12,593",S,17929,1
1784,"2022-02-22 09:14:10,498",S,17930,1
1785,"2022-02-22 09:27:00,761",B,17968,1
1786,"2022-02-22 09:30:12,410",S,17911,1
1787,"2022-02-22 09:30:41,620",S,17899,1
1788,"2022-02-22 09:37:01,215",S,17948,1
1789,"2022-02-22 09:40:02,056",B,17951,1
1790,"2022-02-22 09:49:20,971",S,17896,1
1791,"2022-02-22 09:49:26,055",S,17904,1
1792,"2022-02-22 09:54:54,247",S,17886,1
1793,"2022-02-22 10:05:42,510",B,17922,1
1794,"2022-02-22 10:16:00,480",B,17915,1
1795,"2022-02-22 10:25:05,196",S,17885,2
1796,"2022-02-22 10:27:00,984",S,17873,1
1797,"2022-02-22 10:27:05,642",S,17874,1
1798,"2022-02-22 10:37:00,865",S,17856,1
1799,"2022-02-22 10:37:40,440",S,17850,1
1800,"2022-02-22 10:58:01,567",S,17812,1
1801,"2022-02-22 11:05:00,755",S,17788,1
1802,"2022-02-22 11:05:00,877",S,17789,1
1803,"2022-02-22 11:12:01,301",B,17812,1
1804,"2022-02-22 11:22:13,787",B,17830,2
1805,"2022-02-22 12:24:29,438",B,17853,1
1806,"2022-02-22 13:08:44,006",B,17890,1
1807,"2022-02-22 13:33:00,868",B,17910,1
1808,"2022-02-22 15:46:00,610",B,17865,1
1809,"2022-02-22 17:00:00,709",B,17925,1
1810,"2022-02-23 04:40:02,218",S,17944,1
1811,"2022-02-23 04:54:05,893",B,17867,1
1812,"2022-02-23 08:45:00,691",B,17957,2
1813,"2022-02-23 08:45:00,835",S,17952,1
1814,"2022-02-23 09:01:03,084",B,17965,1
1815,"2022-02-23 09:09:00,809",B,17976,1
1816,"2022-02-23 10:02:10,788",B,18010,1
1817,"2022-02-23 10:28:08,299",S,17977,1
1818,"2022-02-23 10:57:24,520",S,17961,1
1819,"2022-02-23 11:06:02,255",B,17968,1
1820,"2022-02-23 12:35:01,212",B,17998,1
1821,"2022-02-23 12:35:01,401",B,17998,1
1822,"2022-02-23 12:46:20,071",B,18023,1
1823,"2022-02-23 12:46:20,894",B,18020,1
1824,"2022-02-23 13:01:26,692",B,18024,1
1825,"2022-02-23 13:10:10,960",B,18049,1
1826,"2022-02-23 13:35:00,839",B,18033,1
1827,"2022-02-23 18:48:40,197",S,18062,1
1828,"2022-02-24 00:04:12,020",S,17975,1
1829,"2022-02-24 02:06:55,657",S,17961,1
1830,"2022-02-24 02:18:00,331",S,17929,1
1831,"2022-02-24 04:54:00,762",S,17870,1
1832,"2022-02-24 08:55:02,930",S,17790,1
1833,"2022-02-24 09:04:48,745",S,17762,1
1834,"2022-02-24 09:04:49,765",S,17765,1
1835,"2022-02-24 09:05:44,715",S,17769,1
1836,"2022-02-24 09:05:52,905",S,17780,1
1837,"2022-02-24 09:15:00,837",B,17795,1
1838,"2022-02-24 09:16:39,514",B,17806,1
1839,"2022-02-24 09:28:24,385",S,17759,1
1840,"2022-02-24 09:28:25,631",S,17762,1
1841,"2022-02-24 09:28:29,602",S,17762,1
1842,"2022-02-24 09:29:02,865",S,17732,1
1843,"2022-02-24 09:29:31,072",S,17733,1
1844,"2022-02-24 09:30:14,711",S,17731,1
1845,"2022-02-24 09:32:35,137",B,17768,1
1846,"2022-02-24 09:40:24,293",B,17764,1
1847,"2022-02-24 09:42:35,730",S,17730,1
1848,"2022-02-24 09:42:36,022",S,17728,1
1849,"2022-02-24 09:47:11,620",B,17768,1
1850,"2022-02-24 09:48:31,689",B,17780,1
1851,"2022-02-24 09:48:33,000",B,17781,1
1852,"2022-02-24 09:55:00,948",B,17818,1
1853,"2022-02-24 09:57:01,621",B,17812,1
1854,"2022-02-24 11:02:39,529",S,17732,1
1855,"2022-02-24 11:07:08,584",S,17724,1
1856,"2022-02-24 11:07:14,842",S,17711,1
1857,"2022-02-24 11:09:00,757",S,17708,1
1858,"2022-02-24 11:25:14,961",S,17676,1
1859,"2022-02-24 11:26:01,194",S,17673,1
1860,"2022-02-24 11:26:01,294",S,17672,1
1861,"2022-02-24 11:33:30,070",S,17631,1
1862,"2022-02-24 11:45:01,563",B,17649,1
1863,"2022-02-24 12:00:00,517",S,17644,1
1864,"2022-02-24 12:16:59,171",S,17611,1
1865,"2022-02-24 12:50:10,717",B,17633,1
1866,"2022-02-24 13:39:00,351",S,17532,1
1867,"2022-02-24 13:39:00,759",B,17534,1
1868,"2022-02-24 15:06:32,682",B,17510,1
1869,"2022-02-24 15:45:32,428",B,17440,1
1870,"2022-02-24 18:24:00,904",S,17349,1
1871,"2022-02-24 19:12:00,858",S,17261,1
1872,"2022-02-24 19:47:14,335",B,17292,1
1873,"2022-02-24 21:45:18,938",B,17273,5
1874,"2022-02-24 23:17:00,207",B,17323,2
1875,"2022-02-24 23:17:00,269",B,17323,1
1876,"2022-02-25 03:17:30,554",B,17474,1
1877,"2022-02-25 03:24:07,524",B,17472,1
1878,"2022-02-25 04:54:01,224",S,17646,1
1879,"2022-02-25 09:09:01,336",B,17669,1
1880,"2022-02-25 09:20:06,718",B,17674,1
1881,"2022-02-25 09:20:06,782",B,17674,1
1882,"2022-02-25 09:27:00,864",S,17644,1
1883,"2022-02-25 09:27:00,960",S,17644,1
1884,"2022-02-25 09:52:33,758",S,17526,1
1885,"2022-02-25 09:58:22,144",B,17558,1
1886,"2022-02-25 20:18:00,925",B,17617,1
1887,"2022-02-25 21:25:00,766",B,17719,1
1888,"2022-02-25 21:25:00,937",B,17719,1
1889,"2022-02-25 21:35:31,719",B,17725,1
1890,"2022-02-25 21:40:26,972",B,17729,1
1891,"2022-02-25 22:09:13,080",S,17705,1
1892,"2022-02-25 22:10:11,565",S,17696,3
1893,"2022-02-25 22:18:29,414",S,17672,1
1894,"2022-02-26 01:12:01,959",B,17726,1
1895,"2022-02-26 04:54:01,376",S,17773,1
1896,"2022-03-01 09:12:26,177",B,17783,1
1897,"2022-03-01 09:12:56,234",S,17778,1
1898,"2022-03-01 09:20:00,716",B,17817,1
1899,"2022-03-01 09:25:00,734",B,17866,1
1900,"2022-03-01 09:25:01,207",B,17864,1
1901,"2022-03-01 09:33:00,508",B,17876,1
1902,"2022-03-01 09:33:17,623",B,17888,1
1903,"2022-03-01 09:36:00,583",B,17895,1
1904,"2022-03-01 09:37:00,572",B,17898,1
1905,"2022-03-01 09:43:13,894",B,17892,1
1906,"2022-03-01 09:48:52,554",S,17867,1
1907,"2022-03-01 09:49:06,332",S,17861,1
1908,"2022-03-01 10:05:01,962",B,17913,1
1909,"2022-03-01 10:05:02,837",B,17909,1
1910,"2022-03-01 10:15:01,110",S,17890,1
1911,"2022-03-01 10:45:12,439",B,17906,1
1912,"2022-03-01 11:28:20,249",B,17921,1
1913,"2022-03-01 11:33:01,114",B,17931,1
1914,"2022-03-01 13:05:02,376",S,17916,1
1915,"2022-03-01 13:26:55,107",S,17894,1
1916,"2022-03-01 13:35:00,387",S,17903,1
1917,"2022-03-01 13:35:00,480",B,17904,1
1918,"2022-03-01 15:48:03,667",S,17956,1
1919,"2022-03-01 15:55:09,716",S,17945,1
1920,"2022-03-01 21:27:39,947",B,17866,1
1921,"2022-03-02 00:32:45,590",S,17821,1
1922,"2022-03-02 00:45:56,857",S,17800,1
1923,"2022-03-02 00:56:03,277",S,17783,1
1924,"2022-03-02 04:30:01,206",S,17723,1
1925,"2022-03-02 04:54:08,359",S,17716,1
1926,"2022-03-02 09:09:00,822",B,17829,1
1927,"2022-03-02 09:25:30,129",S,17769,1
1928,"2022-03-02 09:35:01,273",B,17831,1
1929,"2022-03-02 13:02:29,625",B,17880,1
1930,"2022-03-02 13:32:00,978",S,17842,1
1931,"2022-03-02 13:35:01,049",B,17838,1
1932,"2022-03-02 22:48:18,975",B,17815,1
1933,"2022-03-03 00:32:02,430",B,17898,1
1934,"2022-03-03 03:53:03,138",S,17898,1
1935,"2022-03-03 09:37:00,745",S,17901,1
1936,"2022-03-03 13:44:00,877",B,17929,1
1937,"2022-03-03 16:40:41,951",S,17860,1
1938,"2022-03-03 16:48:08,707",S,17857,1
1939,"2022-03-03 17:30:21,569",S,17849,1
1940,"2022-03-04 00:00:00,868",S,17789,1
1941,"2022-03-04 00:21:48,299",B,17819,1
1942,"2022-03-04 04:12:17,245",S,17758,1
1943,"2022-03-04 04:54:01,805",B,17777,1
1944,"2022-03-04 09:35:57,362",B,17732,1
1945,"2022-03-04 09:50:27,712",B,17749,1
1946,"2022-03-04 09:50:43,266",B,17758,1
1947,"2022-03-04 11:33:12,576",S,17724,2
1948,"2022-03-04 13:35:00,671",S,17693,1
1949,"2022-03-04 13:35:01,092",S,17694,1
1950,"2022-03-04 13:39:00,684",S,17688,1
1951,"2022-03-04 21:30:13,152",B,17654,1
1952,"2022-03-05 00:00:02,548",S,17574,1
1953,"2022-03-05 01:10:14,620",B,17599,1
1954,"2022-03-05 04:30:02,866",S,17522,1
1955,"2022-03-05 04:53:01,580",B,17533,1
1956,"2022-03-05 04:54:01,398",B,17548,1
